Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
"The knight ___ his sword and prepared for battle.",draws,drew,was drawing,has drawn,B,"This is an example of storytelling or narrative in the past. The simple past is used for sequential actions in a story."
"___ you see the game on TV last night?",Do,Did,Will,Have,B,"To form a question about a past event ('last night'), we use the auxiliary verb 'Did' followed by the base form of the main verb ('see')."
"I've asked him for help, but the car ___ not start.",does,did,will,is going to,C,"'Will not' (won't) is used to express a refusal or that something refuses to function as expected. It's a specific use of the simple future."
"The Prime Minister ___ address the nation tonight.",is,does,will,is going to,C,"'Will' is often used for formal announcements about future events."
"Be careful with that vase! You ___ drop it!",will,are going to,drop,drops,B,"This is a prediction based on immediate evidence (the person is not being careful). 'Be going to' is the correct form for this situation."
"In the final chapter, the detective ___ the mystery.",solves,solved,is solving,will solve,A,"The simple present is used to summarize the plot of a book, film, or play."
"He ___ as a doctor for over thirty years before he retired.",works,worked,is working,has worked,B,"This describes a state or action that occurred over a long period but is now finished in the past. The simple past is appropriate."
"If you touch that wire, you ___ get an electric shock.",will,are going to,do,are,A,"'Will' is used in the first conditional to state the certain result of a future action. It's a type of warning or prediction."
"If you ___ ice, it melts.",heat,heats,are heating,heated,A,"This is a zero conditional sentence, which describes a general truth or scientific fact. Both clauses use the simple present tense."
"So, I'm telling a story, and this man ___ into a bar...",walk,walks,walked,is walking,B,"The simple present is sometimes used in informal storytelling to make the events sound more immediate and dramatic."
"If I ___ the lottery, I would travel the world.",win,won,will win,have won,B,"This is a second conditional sentence, used for hypothetical or unreal situations in the present or future. The 'if' clause uses the simple past tense."
"I ___ if you could possibly help me for a moment.",wonder,wondered,am wondering,will wonder,B,"Using the simple past 'wondered' is a common and polite way to make a request or ask a question. It sounds less direct than 'I wonder'."
"Stop that, or I ___ tell the teacher!",am going to,tell,will tell,told,C,"'Will' is often used to express a threat or a strong warning about a future consequence."
"Look out! That pile of boxes ___ fall!",will,is going to,does,falls,B,"'Be going to' is used to express that something is about to happen, based on immediate evidence."
"I wish I ___ a bigger apartment.",have,had,will have,am having,B,"After the expression 'I wish' to talk about a present situation we want to be different, we use the simple past tense to indicate it's an unreal or hypothetical situation."
"Mmm, this pasta sauce ___ amazing!",taste,tastes,is tasting,tasted,B,"'Taste' is a state verb here, describing a quality. State verbs are used in the simple present, not the continuous form, for current states."
"The president ___ make a statement at 10:00 AM.",is,does,will,is going to,C,"'Will' is frequently used for official arrangements or formal future announcements, similar to a scheduled event."
"Christopher Columbus ___ America in 1492.",discovers,discovered,has discovered,was discovering,B,"This is a historical fact that happened at a specific, completed time in the past, requiring the simple past tense."
"I'll call you when I ___ at the station.",arrive,arrives,will arrive,arrived,A,"In future time clauses starting with words like 'when', 'after', 'as soon as', we use the simple present tense, not the future."
"Sports commentary: 'Ronaldo ___ the ball... he shoots!'",take,takes,took,is taking,B,"For live commentary on fast actions, the simple present is used to create a sense of immediacy."
"It's almost midnight. It's time we ___ home.",go,goes,went,will go,C,"After the expression 'it's time' or 'it's high time', we use the simple past to say that something should be done now."
"She said she ___ busy, so she couldn't come.",is,was,will be,has been,B,"This is reported speech. The original statement was 'I am busy' (simple present), which shifts to simple past ('was') when the reporting verb ('said') is in the past."
"I'd rather you ___ in here, if you don't mind.",not to smoke,don't smoke,didn't smoke,won't smoke,C,"After the phrase 'I'd rather' when referring to another person's actions, we use the simple past to express a preference."
"(Doorbell rings) That ___ the pizza I ordered.",is,was,will be,is going to be,C,"'Will' can be used to make an assumption or a confident guess about a present situation."
"Plants ___ if they don't get enough sunlight.",die,dies,died,will die,A,"This is another example of a zero conditional, stating a general truth. Both clauses are in the simple present."
"He ___ to work every day last year without a single day off.",goes,is going,went,has gone,C,"The phrase 'last year' indicates a completed period in the past, requiring the simple past tense for the repeated action within that time."
